Devices
1000
,,Plate force 1 - Moment,,
Frame,Sub Frame,Mx,My
,,N.mm,N.mm
96,2,6781.09,721.156
96,3,6789.56,721.985
96,4,6762.43,717.275
96,5,6796.16,731.438
96,6,6777.31,729.059
96,7,6761.31,723.831
96,8,6787.49,733.926
96,9,6780.33,728.385
97,0,6773.74,733.44
97,1,6791.08,731.782
97,2,6771.29,722.517
97,3,6765.07,723.722
97,4,6778.07,738.152
97,5,6790.32,733.925
97,6,6778.07,732.612
97,7,6785.04,746.132
97,8,6763.19,737.697
97,9,6741.15,732.424
98,0,6752.45,711.89
98,1,6765.64,723.534
98,2,6764.32,720.186
98,3,6763.56,728.463
98,4,6739.45,735.96
98,5,6759.42,725.569
98,6,6766.2,729.105
98,7,6725.89,725.271
98,8,6753.38,735.476
98,9,6736.06,736.148
99,0,6751.7,752.205
99,1,6728.71,722.549
99,2,6722.31,734.537
99,3,6735.49,728.056
99,4,6727.02,727.337
99,5,6715.89,726.022
99,6,6698.94,728.245
99,7,6722.49,722.548
99,8,6725.49,738.981
99,9,6706.29,724.363
100,0,6675.96,744.865
100,1,6733.79,745.162
100,2,6719.47,728.135
100,3,6669.17,735.929
100,4,6695.92,742.032
100,5,6672.18,737.588
100,6,6665.4,740.749
100,7,6683.85,734.537
100,8,6663.13,737.697
100,9,6666.33,744.897
101,0,6662.38,750.468
101,1,6668.03,728.323
101,2,6619.42,729.45
101,3,6665.77,734.27
101,4,6637.5,739.81
101,5,6641.64,749.607
101,6,6657.67,728.809
101,7,6639.01,730.842
101,8,6616.78,732.58
101,9,6624.88,734.427
102,0,6613.57,716.037
102,1,6612.25,749.796
102,2,6614.14,733.785
102,3,6602.27,727.572
102,4,6602.64,740.937
102,5,6599.44,740.452
102,6,6580.79,739.466
102,7,6584.75,740.64
102,8,6583.05,747.839
102,9,6565.52,745.538
103,0,6601.13,750.092
103,1,6544.99,736.085
103,2,6543.47,728.62
103,3,6575.13,749.497
103,4,6560.81,746.93
103,5,6549.5,741.579
103,6,6531.04,736.462
103,7,6522.75,746.743
103,8,6565.32,745.084
103,9,6532.35,759.06
104,0,6549.12,763.849
104,1,6541.58,731.218
104,2,6492.42,747.009
104,3,6485.82,748.323
104,4,6485.06,738.761
104,5,6505.97,747.542
104,6,6500.52,736.383
104,7,6503.15,740.796
104,8,6479.03,743.128
104,9,6476.58,747.009
105,0,6450.41,724.629
105,1,6464.9,748.48
105,2,6464.9,736.837
105,3,6471.69,747.729
105,4,6432.5,747.651
105,5,6469.98,740.718
105,6,6432.31,736.649
105,7,6444.55,750.061
105,8,6439.08,742.941
105,9,6429.66,740.421
106,0,6418.17,757.182
106,1,6434.76,759.107
106,2,6421,743.097
106,3,6430.23,752.173
106,4,6396.69,756.509
